;Bytes        |8080        |8085        |gbz80|r2k|r3k|z180|z80|z80n
              |shld %m     |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
23            |inc hl      |~           |     |   |   |    |   |    
              |inx h       |            |     |   |   |    |   |    
              |inx hl      |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
24            |inc h       |~           |     |   |   |    |   |    
              |inr h       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
25            |dcr h       |~           |     |   |   |    |   |    
              |dec h       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
26 %n         |ld h, %n    |~           |     |   |   |    |   |    
              |mvi h, %n   |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
27            |daa         |~           |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
28 %n         |            |adi hl, %n  |     |   |   |    |   |    
              |            |ld de, hl+%n|     |   |   |    |   |    
              |            |ldhi %n     |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
29            |add hl, hl  |~           |     |   |   |    |   |    
              |dad h       |            |     |   |   |    |   |    
              |dad hl      |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
2A %m %m      |ld hl, (%m) |~           |     |   |   |    |   |    
              |lhld %m     |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
2B            |dcx h       |~           |     |   |   |    |   |    
              |dcx hl      |            |     |   |   |    |   |    
              |dec hl      |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
2C            |inc l       |~           |     |   |   |    |   |    
              |inr l       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
2D            |dcr l       |~           |     |   |   |    |   |    
              |dec l       |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
2E %n         |ld l, %n    |~           |     |   |   |    |   |    
              |mvi l, %n   |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
2F            |cma         |~           |     |   |   |    |   |    
              |cpl         |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
30            |            |sim         |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
31 %m %m      |ld sp, %m   |~           |     |   |   |    |   |    
              |lxi sp, %m  |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
32 %m %m      |ld (%m), a  |~           |     |   |   |    |   |    
              |sta %m      |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
33            |inc sp      |~           |     |   |   |    |   |    
              |inx sp      |            |     |   |   |    |   |    
              |            |            |     |   |   |    |   |    
34            |inc (hl)    |~           |     |   |   |    |   |    
              |inr m       |            |     |   |   |    |   |    
